model,date,lower_coverage,interval_coverage,average_band_width_kwh,calibration_days
Q4-3,2025-04-19,0.9652777777777778,0.9583333333333334,244.92062913891039,28
Q4-3,2025-04-20,1.0,0.8333333333333334,247.0701673120389,28
Q4-3,2025-04-21,1.0,0.8472222222222222,251.6675939672918,28
Q4-3,2025-04-22,1.0,0.8125,253.7364212418093,28
Q4-3,2025-04-23,1.0,0.7569444444444444,260.54290043615197,28
Q4-3,2025-04-24,1.0,0.9513888888888888,269.33421207449857,28
Q4-3,2025-04-25,1.0,0.9861111111111112,269.1717878820207,28
Q4-3,2025-04-26,1.0,1.0,262.9195479256198,28
Q4-3,2025-04-27,1.0,0.7986111111111112,258.5509856278956,28
Q4-3,2025-04-28,1.0,0.8958333333333334,262.5782814604106,28
Q4-3,2025-04-29,1.0,0.9305555555555556,260.365870917753,28
Q4-3,2025-04-30,1.0,0.8055555555555556,260.55006910314665,28
Q4-3,2025-05-01,1.0,0.6527777777777778,264.74283843112977,28
Q4-3,2025-05-02,1.0,0.9097222222222222,271.48834845081007,28
Q4-3,2025-05-03,1.0,0.9097222222222222,269.6653299522141,28
Q4-3,2025-05-04,1.0,0.7569444444444444,268.5135976607028,28
Q4-3,2025-05-05,1.0,0.8333333333333334,273.04703177369987,28
Q4-3,2025-05-06,1.0,0.6458333333333334,275.7504683815202,28
Q4-3,2025-05-07,1.0,0.7847222222222222,290.26759426828295,28
Q4-3,2025-05-08,1.0,0.9027777777777778,294.75137053934606,28
Q4-3,2025-05-09,0.9722222222222222,0.9722222222222222,296.643584830688,28
Q4-3,2025-05-10,0.9930555555555556,0.9930555555555556,293.80607897113117,28
Q4-3,2025-05-11,1.0,0.8611111111111112,292.14607151539417,28
Q4-3,2025-05-12,1.0,0.8472222222222222,293.80887914854185,28
Q4-3,2025-05-13,1.0,0.9583333333333334,298.46755253286284,28
Q4-3,2025-05-14,1.0,0.9513888888888888,294.2638853559106,28
Q4-3,2025-05-15,1.0,0.9583333333333334,294.55986376512317,28
Q4-3,2025-05-16,0.9861111111111112,0.9861111111111112,295.1779943445001,28
Q4-3,2025-05-17,0.9930555555555556,0.9930555555555556,289.177382649762,28
Q4-3,2025-05-18,1.0,0.9444444444444444,285.1592025060168,28
Q4-3,2025-05-19,1.0,0.9722222222222222,281.78489167158085,28
Q4-3,2025-05-20,1.0,0.8958333333333334,280.2373883942312,28
Q4-3,2025-05-21,1.0,0.8958333333333334,272.76734629184295,28
Q4-3,2025-05-22,1.0,0.9513888888888888,273.9258408002,28
Q4-3,2025-05-23,1.0,1.0,276.4250026812311,28
Q4-3,2025-05-24,0.9861111111111112,0.9861111111111112,268.8670787135278,28
Q4-3,2025-05-25,1.0,0.9791666666666666,265.6802304747765,28
